时间	ZnS	孤独侠客	无止无境	kevin chen	呐喊	蜗牛爬爬	123	飞锅
局数	279	220	178	163	99	103	166	105
合计	3797	3345	-1466	-1463	-1744	-4043	782	792
2021/1/2 20:23	174	-86			-100	12		
2021/1/2 21:04	88	-150			92	-30		
2021/1/3 17:12	-30	-86	64		52			
2021/1/18 20:36		-170		50	170	-50		
2021/1/18 21:05		52		80	-68	-64		
2021/1/18 21:28		-38		46	124		-132	
2021/1/18 21:54		136		12	-140		-8	
2021/1/18 22:23		-18		132	-6	-108		
2021/1/18 22:49		58		96	66	-220		
2021/1/18 23:18	36			32		-82	14	
2021/1/19 22:47	52		-84	24			8	
2021/1/19 23:11	-14		-146	142			18	
2021/1/19 23:39	108		106	-132			-82	
2021/1/20 21:24		130			-108	-20	-2	
2021/1/20 21:55		178			-24	-162	8	
2021/1/20 22:23	14				38	-182	130	
2021/1/20 22:48		-2			-6	-38	46	
2021/1/20 23:23		142			6	-142	-6	
2021/1/20 23:51	130	-108				8	-30	
2021/1/22 22:35	4	2		16	-22			
2021/1/22 23:06	-10	178		-12	-156			
2021/1/22 23:30	-414	6		398	10			
2021/1/22 23:54	-36	76		0	-40			
2021/1/23 0:20	-224	352		-72	-56			
2021/1/23 20:08	-78			-156	-24	258		
2021/1/23 20:33	134			-144	-302	312		
2021/1/23 21:08	8		42		-22	-28		
2021/1/23 22:10	-68		-64		-60	192		
2021/1/23 22:47	78	30	-20				-88	
2021/1/23 23:37	-6	-4				-134	144	
2021/1/24 0:57	-86	78				42	-34	
2021/1/25 22:53	-60	-88	158	-10				
2021/1/25 23:16	186	-246	14	46				
2021/1/25 23:39	-34	78	-22	-22				
2021/1/26 0:03	-240	44	-16	212				
2021/1/26 20:50	-42	-12	210	-156				
2021/1/26 21:24	30	-140	22	88				
2021/1/26 22:12		80	96	-120		-56		
2021/1/26 22:36		192	18	-14		-196		
2021/1/26 23:00	-20	134		-28		-86		
2021/1/26 23:27	80	22		54		-156		
2021/1/26 23:50	44	24		-50		-18		
2021/1/28 22:17	-42		8	40	-6			
2021/1/28 22:36	-186	184	-158	160				
2021/1/28 23:01	-36	178	-30	-112				
2021/1/28 23:20	-82	74	64	-56				
2021/1/28 23:44	92	92	-198	14				
2021/1/29 0:06	42	-162	-64	184				
2021/1/30 23:03	262	-56	-248		42			
2021/1/30 23:29	86	66	-44		-108			
2021/1/30 23:53	-74	216	-146			4		
2021/1/31 0:16	-34	-26	34			26		
